kind	PropertyName	ValueType	RelatedTypes
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	Name	string	
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	Description	string	
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	TotalSize	string	
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	SchemaFormatTypeID	string	reference-data--SchemaFormatType
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	Endian	string	
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	DatasetProperties.ConnectedSourceRegistryEntryID	string	master-data--ConnectedSourceRegistryEntry
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	DatasetProperties.ConnectedSourceDataJobID	string	master-data--ConnectedSourceDataJob
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	DatasetProperties.SourceDataPartitionID	string	
osdu:wks:dataset--ConnectedSource.Generic:1.0.1	DatasetProperties.SourceRecordID	string	
osdu:wks:dataset--ETPDataspace:1.0.1	Name	string	
osdu:wks:dataset--ETPDataspace:1.0.1	Description	string	
osdu:wks:dataset--ETPDataspace:1.0.1	TotalSize	string	
osdu:wks:dataset--ETPDataspace:1.0.1	EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--ETPDataspace:1.0.1	SchemaFormatTypeID	string	reference-data--SchemaFormatType
osdu:wks:dataset--ETPDataspace:1.0.1	Endian	string	
osdu:wks:dataset--ETPDataspace:1.0.1	DatasetProperties.ServerURL	string	
osdu:wks:dataset--ETPDataspace:1.0.1	DatasetProperties.Path	string	
osdu:wks:dataset--ETPDataspace:1.0.1	DatasetProperties.URI	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	Name	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	Description	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TotalSize	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	SchemaFormatTypeID	string	reference-data--SchemaFormatType
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	Endian	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.FileSource	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.PreloadFilePath	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileCreateUser	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileCreateDate	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileModifyUser	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileModifyDate	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.Name	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.FileSize	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.Checksum	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	DatasetProperties.FileSourceInfo.ChecksumAlgorithm	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	Checksum	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	LossyCompressionIndicator	boolean	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	CompressionMethodTypeID	string	reference-data--CompressionMethodType
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	CompressionLevel	number	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	CompressedByteCount	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	UncompressedByteCount	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	VectorHeaderMapping[].KeyName	string	reference-data--HeaderKeyName
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	VectorHeaderMapping[].WordFormat	string	reference-data--WordFormatType
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	VectorHeaderMapping[].WordWidth	integer	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	VectorHeaderMapping[].Position	integer	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	VectorHeaderMapping[].UoM	string	reference-data--UnitOfMeasure
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	VectorHeaderMapping[].ScalarIndicator	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	VectorHeaderMapping[].ScalarOverride	number	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].KeyName	string	reference-data--HeaderKeyName
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByConstant	number	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByExpressions[].Input	string	reference-data--HeaderKeyName
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByExpressions[].Operator1	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByExpressions[].Operand1Constant	number	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByExpressions[].Operand1Variable	string	reference-data--HeaderKeyName
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByExpressions[].Operator2	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByExpressions[].Operand2Constant	number	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByExpressions[].Operand2Variable	string	reference-data--HeaderKeyName
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	TraceHeaderOverrides[].OverrideByExpressions[].Remark	string	
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	BinaryHeaderOverrides[].KeyName	string	reference-data--HeaderKeyName
osdu:wks:dataset--File.CompressedVectorHeaders:1.1.0	BinaryHeaderOverrides[].OverrideByConstant	integer	
osdu:wks:dataset--File.EML:1.1.0	Name	string	
osdu:wks:dataset--File.EML:1.1.0	Description	string	
osdu:wks:dataset--File.EML:1.1.0	TotalSize	string	
osdu:wks:dataset--File.EML:1.1.0	EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--File.EML:1.1.0	SchemaFormatTypeID	string	reference-data--SchemaFormatType
osdu:wks:dataset--File.EML:1.1.0	Endian	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.FileSource	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.PreloadFilePath	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileCreateUser	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileCreateDate	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileModifyUser	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileModifyDate	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.Name	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.FileSize	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.Checksum	string	
osdu:wks:dataset--File.EML:1.1.0	DatasetProperties.FileSourceInfo.ChecksumAlgorithm	string	
osdu:wks:dataset--File.EML:1.1.0	Checksum	string	
osdu:wks:dataset--File.Generic:1.1.0	Name	string	
osdu:wks:dataset--File.Generic:1.1.0	Description	string	
osdu:wks:dataset--File.Generic:1.1.0	TotalSize	string	
osdu:wks:dataset--File.Generic:1.1.0	EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--File.Generic:1.1.0	SchemaFormatTypeID	string	reference-data--SchemaFormatType
osdu:wks:dataset--File.Generic:1.1.0	Endian	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.FileSource	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.PreloadFilePath	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileCreateUser	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileCreateDate	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileModifyUser	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileModifyDate	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.Name	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.FileSize	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.Checksum	string	
osdu:wks:dataset--File.Generic:1.1.0	DatasetProperties.FileSourceInfo.ChecksumAlgorithm	string	
osdu:wks:dataset--File.Generic:1.1.0	Checksum	string	
osdu:wks:dataset--File.GeoJSON:1.1.0	Name	string	
osdu:wks:dataset--File.GeoJSON:1.1.0	Description	string	
osdu:wks:dataset--File.GeoJSON:1.1.0	TotalSize	string	
osdu:wks:dataset--File.GeoJSON:1.1.0	EncodingFormatTypeID	string	reference-data--EncodingFormatType
osdu:wks:dataset--File.GeoJSON:1.1.0	SchemaFormatTypeID	string	reference-data--SchemaFormatType
osdu:wks:dataset--File.GeoJSON:1.1.0	Endian	string	
osdu:wks:dataset--File.GeoJSON:1.1.0	DatasetProperties.FileSourceInfo.FileSource	string	
osdu:wks:dataset--File.GeoJSON:1.1.0	DatasetProperties.FileSourceInfo.PreloadFilePath	string	
osdu:wks:dataset--File.GeoJSON:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileCreateUser	string	
osdu:wks:dataset--File.GeoJSON:1.1.0	DatasetProperties.FileSourceInfo.PreloadFileCreateDate	string	
