Formula,LTAMKey,AtomicNumber,Element,Electrons,SlotNumber,SlotOrientation,AlphaType,SlotSpin,AtomicSymbol,AtomCount,AtomOrder,AtomLabel,AtomCountNumber
MgSeO3,T16Z1L,34,selenium,T,16,Z,1,L,Se,1,2,selenium-1,1
HBrSn,B15Y2R,35,bromine,B,15,Y,2,R,Br,1,2,bromine-1,1
YInCu4,B15Y2R,49,indium,B,15,Y,2,R,In,1,2,indium-1,1
TaSbO4,B10Z2R,51,antimony,B,10,Z,2,R,Sb,1,2,antimony-1,1
BaBiO2I,T11Z5R,83,bismuth,T,11,Z,5,R,Bi,1,2,bismuth-1,1
TiCoP,B10Z1R,27,cobalt,B,10,Z,2,R,Co,1,2,cobalt-1,1
VSiNi,T9X2L,14,silicon,T,9,X,2,L,Si,1,2,silicon-1,1
Ag3AsSe3,B15Y2R,33,arsenic,B,15,Y,2,R,As,1,2,arsenic-1,1
AgNbO3,B15Y1R,41,niobium,B,15,Y,1,R,Nb,1,2,niobium-1,1
YCuSn,V3Y2V,29,copper,V,3,Y,2,V,Cu,1,2,copper-1,1
Sr2TaN3,P1Z6P,7,nitrogen,P,1,Z,2,P,N,3,3,nitrogen-1,1
Sr2TaN3,P1Z6P,7,nitrogen,P,1,Z,2,P,N,3,3,nitrogen-2,2
SrSnS3,T14Y1L,50,tin,T,14,Y,2,L,Sn,1,2,tin-1,1
NaNiF3,B10Z1R,28,nickel,B,10,Z,2,R,Ni,1,2,nickel-1,1
Sr2TaN3,P1Z6P,7,nitrogen,P,1,Z,2,P,N,3,3,nitrogen-3,3
SrOsO3,V3Y4V,38,strontium,V,3,Y,4,V,Sr,1,1,strontium-1,1
ZrGeIr,T12Z2L,32,germanium,T,12,Z,2,L,Ge,1,2,germanium-1,1
NbOW,T11Z3R,74,tungsten,T,11,Z,3,R,W,1,3,tungsten-1,1
W4PBr11,B15Y2R,35,bromine,B,15,Y,2,R,Br,11,3,bromine-1,1
W4PBr11,B15Y2R,35,bromine,B,15,Y,2,R,Br,11,3,bromine-2,2
W4PBr11,B15Y2R,35,bromine,B,15,Y,2,R,Br,11,3,bromine-3,3
ZrTiAs,V2Y2V,22,titanium,V,2,Y,2,V,Ti,1,2,titanium-1,1
FeLiO2,P1Z6P,8,oxygen,P,1,Z,2,P,O,2,3,oxygen-1,1
MnNiAs,B15Y2R,28,nickel,B,15,Y,1,R,Ni,1,2,nickel-1,1
LiCdCoF6,T14Y2L,48,cadmium,T,14,Y,2,L,Cd,1,2,cadmium-1,1
BaAsPt,A2Y2A,33,arsenic,A,2,Y,2,A,As,1,2,arsenic-1,1
KCuSe,B13Z2L,29,copper,B,13,Z,2,L,Cu,1,2,copper-1,1
VNiP,T12Z1L,28,nickel,T,12,Z,2,L,Ni,1,2,nickel-1,1
AgSbTe2,T14Y2L,51,antimony,T,14,Y,2,L,Sb,1,2,antimony-1,1
AuClO,A2Y2A,17,chlorine,A,2,Y,2,A,Cl,1,2,chlorine-1,1
YInPt,B10Z2R,49,indium,B,10,Z,2,R,In,1,2,indium-1,1
KTeP2,T11Z2R,52,tellurium,T,11,Z,2,R,Te,1,2,tellurium-1,1
NbFeGe,T11Z2R,32,germanium,T,11,Z,2,R,Ge,1,3,germanium-1,1
NiMoP2,A2Y2A,15,phosphorus,A,2,Y,2,A,P,2,3,phosphorus-1,1
NiMoP2,A2Y2A,15,phosphorus,A,2,Y,2,A,P,2,3,phosphorus-2,2
Al2CuIr,B10Z2R,29,copper,B,10,Z,2,R,Cu,1,2,copper-1,1
